00000001,Tom,Sullivan,005,WR,189,447,755373.86
00000002,Nicholas,Tran,025,QB,146,464,656681.43
00000003,Jeff,Jackson,023,WR,167,385,436272.63
00000004,Robert,Acosta,021,RB,105,102,643517.02
00000005,Jorge,Nunez,025,QB,36,478,699384.78
00000006,Eddie,Harmon,023,QB,119,377,248122.62
00000007,Cody,Mcmillan,027,QB,272,-67,453590.89
00000008,Jeffrey,Bauer,032,QB,181,456,833141.89
00000009,Ricardo,Frey,019,QB,88,329,153340.85
00000010,Adam,Castillo,032,RB,43,301,446409.91
00000011,Jason,Walker,020,QB,253,182,754890.47
00000012,Seth,Rodriguez,015,RB,171,294,730267.07
00000013,John,Rangel,007,QB,67,450,714214.67
00000014,Troy,Johnson,010,WR,176,226,258411.03
00000015,Ernest,Suarez,021,QB,282,-95,373068.53
00000016,David,Torres,008,WR,33,235,333163.61
00000017,Samuel,Richards,013,QB,261,360,128065.81
00000018,Matthew,Wilson,029,RB,102,7,158714.88
00000019,Michael,Brown,023,WR,177,158,358304.48
00000020,Rick,Davies,014,RB,201,-98,262639.14
00000021,Christopher,Herring,005,RB,73,430,406858.01
00000022,Joseph,Huffman,006,RB,89,331,885315.99
00000023,Aaron,Robertson,008,RB,269,352,693477.43
00000024,Andre,Lyons,013,QB,56,47,489215.53
00000025,Justin,Madden,030,RB,236,300,891784.46
00000026,Joshua,Klein,025,RB,70,-92,919881.68
00000027,Stephen,Barber,004,RB,75,463,748594.05
00000028,Dennis,Roberts,023,WR,91,265,192270.33
00000029,Brian,Cunningham,021,RB,160,265,508248.45
00000030,Matthew,Smith,021,QB,98,379,638339.55
00000031,Jacob,Hall,016,RB,254,184,562503.59
00000032,Edward,Phillips,015,QB,215,159,920099.53
00000033,Christopher,Myers,013,WR,243,63,770987.1
00000034,Jared,Jones,020,RB,121,37,558123.47
00000035,Michael,Brown,015,RB,49,165,163295.19
00000036,Ryan,Clark,012,WR,1,42,335621.86
00000037,Joshua,Gates,029,QB,295,28,568780.23
00000038,Marcus,Evans,022,RB,45,429,522192.95
00000039,Jesus,Murray,006,WR,278,475,414659.13
00000040,Timothy,Allen,032,QB,282,97,183341.89
00000041,Jonathan,Jones,017,QB,190,408,533932.18
00000042,Jerry,Montgomery,031,QB,80,-40,601360.17
00000043,Jeffrey,Stanley,028,RB,178,383,464171.65
00000044,Samuel,Henson,031,RB,256,301,158637.87
00000045,Erik,Washington,017,RB,231,410,361839.2
00000046,Oscar,Wilkinson,009,QB,142,140,746161.42
00000047,Kyle,Ward,005,QB,291,-44,239047.19
00000048,Aaron,Andrews,004,RB,53,295,179144.17
00000049,Terry,Carter,029,WR,38,-19,665183.31
00000050,Patrick,Lucas,009,WR,17,395,561814.68
00000051,Philip,Collins,022,RB,188,472,157474.33
00000052,Michael,Harris,005,WR,261,256,879835.43
00000053,Daniel,Clark,013,WR,49,486,194674.67
00000054,Richard,Black,025,RB,243,13,601373.03
00000055,Robert,Roberts,016,QB,250,65,510020.15
00000056,Matthew,Strong,002,WR,27,44,157298.33
00000057,Joshua,Long,028,QB,46,-32,256150.06
00000058,John,Dalton,015,QB,167,-34,908515.77
00000059,William,Jones,026,QB,137,468,567404.04
00000060,Joshua,Baker,004,RB,63,368,638047.56
